time,obj_a,obj_b,miss_distance_km,rel_speed_kms,altitude_km,risk_score
2025-09-26T23:27:55.698370+00:00,STARLINK-1265,STARLINK-1460,8.2,6.963,539.9,50
2025-09-27T09:48:55.698370+00:00,STARLINK-1265,STARLINK-1460,8.331,6.95,552.6,50
2025-09-26T22:18:55.698370+00:00,STARLINK-1309,STARLINK-1454,12.357,6.963,539.8,50
2025-09-26T02:45:55.698370+00:00,STARLINK-1265,STARLINK-1460,13.999,6.963,539.9,50
2025-09-26T18:51:55.698370+00:00,STARLINK-1255,STARLINK-1457,17.351,6.95,552.6,50
2025-09-27T08:39:55.698370+00:00,STARLINK-1309,STARLINK-1454,20.887,6.95,552.7,40
2025-09-26T08:30:55.698370+00:00,STARLINK-1255,STARLINK-1457,22.089,6.963,540.0,40
2025-09-27T15:09:55.698370+00:00,STARLINK-1122,STARLINK-1423,22.369,6.963,540.0,40
2025-09-26T13:06:55.698370+00:00,STARLINK-1265,STARLINK-1460,22.806,6.95,552.6,40
2025-09-26T01:36:55.698370+00:00,STARLINK-1309,STARLINK-1454,26.05,6.963,539.8,40
2025-09-27T05:12:55.698370+00:00,STARLINK-1255,STARLINK-1457,26.124,6.963,540.0,40
2025-09-25T22:09:55.698370+00:00,STARLINK-1255,STARLINK-1457,26.293,6.95,552.6,40
2025-09-27T03:03:55.698370+00:00,STARLINK-1142,STARLINK-1210,30.797,11.7,417.2,40
2025-09-26T18:27:55.698370+00:00,STARLINK-1122,STARLINK-1423,32.707,6.963,540.0,40
2025-09-25T16:24:55.698370+00:00,STARLINK-1265,STARLINK-1460,35.68,6.95,552.7,40
2025-09-26T11:57:55.698370+00:00,STARLINK-1309,STARLINK-1454,36.271,6.95,552.8,40
2025-09-26T07:21:55.698370+00:00,STARLINK-1263,STARLINK-1448,36.396,6.963,540.2,40
2025-09-26T20:03:55.698370+00:00,STARLINK-1056,STARLINK-1336,37.109,11.477,311.9,40
2025-09-26T17:42:55.698370+00:00,STARLINK-1263,STARLINK-1448,38.043,6.95,552.6,40
2025-09-27T04:39:55.698370+00:00,STARLINK-1301,STARLINK-1331,38.443,6.963,540.0,40
2025-09-27T07:06:55.698370+00:00,STARLINK-1305,STARLINK-1480,39.631,6.963,539.9,40
2025-09-27T04:48:55.698370+00:00,STARLINK-1122,STARLINK-1423,39.984,6.95,552.5,40
2025-09-25T17:00:55.698370+00:00,STARLINK-1179,STARLINK-1146,9.345,0.11,281.7,30
2025-09-27T13:18:55.698370+00:00,STARLINK-1231,STARLINK-1271,11.894,0.062,547.6,30
2025-09-27T13:21:55.698370+00:00,STARLINK-1231,STARLINK-1271,12.413,0.062,547.9,30
2025-09-27T13:15:55.698370+00:00,STARLINK-1231,STARLINK-1271,19.594,0.059,547.3,30
2025-09-27T13:24:55.698370+00:00,STARLINK-1231,STARLINK-1271,20.505,0.06,548.0,20
2025-09-25T16:15:55.698370+00:00,STARLINK-1179,STARLINK-1146,20.523,0.112,267.3,20
2025-09-25T17:03:55.698370+00:00,STARLINK-1179,STARLINK-1146,20.608,0.108,281.3,20
2025-09-26T15:48:55.698370+00:00,STARLINK-1420,STARLINK-1434,22.829,0.213,545.3,20
2025-09-25T16:57:55.698370+00:00,STARLINK-1179,STARLINK-1146,22.915,0.107,281.9,20
2025-09-25T16:18:55.698370+00:00,STARLINK-1179,STARLINK-1146,25.898,0.11,267.8,20
2025-09-27T10:48:55.698370+00:00,STARLINK-1433,STARLINK-1434,27.537,0.217,544.9,20
2025-09-27T13:12:55.698370+00:00,STARLINK-1231,STARLINK-1271,29.089,0.055,546.9,20
2025-09-27T13:27:55.698370+00:00,STARLINK-1231,STARLINK-1271,30.041,0.055,548.1,20
2025-09-27T10:51:55.698370+00:00,STARLINK-1433,STARLINK-1434,30.762,0.217,545.1,20
2025-09-25T16:12:55.698370+00:00,STARLINK-1179,STARLINK-1146,30.786,0.11,267.3,20
2025-09-26T15:45:55.698370+00:00,STARLINK-1420,STARLINK-1434,31.082,0.211,545.1,20
2025-09-25T21:42:55.698370+00:00,STARLINK-1201,STARLINK-1355,31.146,0.046,192.3,20
2025-09-26T00:48:55.698370+00:00,STARLINK-1217,STARLINK-1247,32.584,0.461,290.2,20
2025-09-25T21:45:55.698370+00:00,STARLINK-1201,STARLINK-1355,33.05,0.051,191.7,20
2025-09-25T21:39:55.698370+00:00,STARLINK-1201,STARLINK-1355,33.632,0.043,192.8,20
2025-09-25T17:45:55.698370+00:00,STARLINK-1179,STARLINK-1146,34.559,0.117,267.2,20
2025-09-27T13:09:55.698370+00:00,STARLINK-1231,STARLINK-1271,38.233,0.049,546.4,20
2025-09-25T17:06:55.698370+00:00,STARLINK-1179,STARLINK-1146,38.526,0.102,280.8,20
2025-09-27T14:06:55.698370+00:00,STARLINK-1231,STARLINK-1271,38.757,0.075,535.5,20
2025-09-25T21:48:55.698370+00:00,STARLINK-1201,STARLINK-1355,38.962,0.055,191.0,20
2025-09-27T13:30:55.698370+00:00,STARLINK-1231,STARLINK-1271,39.13,0.05,548.0,20
2025-09-25T21:36:55.698370+00:00,STARLINK-1201,STARLINK-1355,39.192,0.041,193.2,20
2025-09-25T17:42:55.698370+00:00,STARLINK-1179,STARLINK-1146,39.349,0.113,267.2,20
2025-09-27T14:03:55.698370+00:00,STARLINK-1231,STARLINK-1271,39.62,0.072,536.1,20
