obj_a,obj_b,time,miss_distance_km,rel_speed_kms,altitude_km,risk_score
STARLINK-1265,STARLINK-1460,2025-09-25T16:24:55.698370+00:00,8.2,6.963,547.54,50
STARLINK-1309,STARLINK-1454,2025-09-26T01:36:55.698370+00:00,12.357,6.963,546.275,50
STARLINK-1255,STARLINK-1457,2025-09-25T22:09:55.698370+00:00,17.351,6.963,546.3,50
STARLINK-1122,STARLINK-1423,2025-09-26T18:27:55.698370+00:00,22.369,6.963,544.1666666666666,40
STARLINK-1142,STARLINK-1210,2025-09-27T03:03:55.698370+00:00,30.797,11.7,417.2,40
STARLINK-1263,STARLINK-1448,2025-09-26T07:21:55.698370+00:00,36.396,6.963,546.4000000000001,40
STARLINK-1056,STARLINK-1336,2025-09-26T20:03:55.698370+00:00,37.109,11.477,311.9,40
STARLINK-1301,STARLINK-1331,2025-09-27T04:39:55.698370+00:00,38.443,6.963,540.0,40
STARLINK-1305,STARLINK-1480,2025-09-27T07:06:55.698370+00:00,39.631,6.963,539.9,40
STARLINK-1179,STARLINK-1146,2025-09-25T16:12:55.698370+00:00,9.345,0.117,273.6111111111111,30
STARLINK-1231,STARLINK-1271,2025-09-27T13:09:55.698370+00:00,11.894,0.075,545.1800000000001,30
STARLINK-1420,STARLINK-1434,2025-09-26T15:45:55.698370+00:00,22.829,0.213,545.2,20
STARLINK-1433,STARLINK-1434,2025-09-27T10:48:55.698370+00:00,27.537,0.217,545.0,20
STARLINK-1201,STARLINK-1355,2025-09-25T21:36:55.698370+00:00,31.146,0.055,192.2,20
STARLINK-1217,STARLINK-1247,2025-09-26T00:48:55.698370+00:00,32.584,0.461,290.2,20
